City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Balakhta,RU,55.38,91.6,70.32,59,3,2.86,Clear
202,Kavieng,PG,-2.5744,150.7967,83.35,69,22,3.8,Rain
203,Half Moon Bay,US,37.4636,-122.4286,71.92,83,20,13.8,Clouds
204,Plettenberg Bay,ZA,-34.0527,23.3716,56.37,53,71,5.5,Clouds
205,Coahuayana,MX,18.7333,-103.6833,78.69,86,78,2.33,Clouds
206,Bavleny,RU,56.4,39.56,63.55,72,84,6.42,Clouds
207,Kaeo,NZ,-35.1,173.7833,61.32,68,55,3.04,Clouds
208,Bredasdorp,ZA,-34.5322,20.0403,55.27,93,99,4.61,Clouds
209,Kaitangata,NZ,-46.2817,169.8464,49.12,97,100,1.45,Rain
210,Kaniama,CD,-7.5667,24.1833,62.49,39,1,5.37,Clear
211,Ascension,US,30.2169,-90.9001,78.08,96,1,0.0,Clear
212,Kahului,US,20.8947,-156.47,83.46,68,20,26.46,Clouds
213,Bongandanga,CD,1.5,21.05,69.3,98,99,3.69,Rain
214,Rodrigues Alves,BR,-7.738,-72.6509,67.37,70,5,1.19,Clear
215,Bida,NG,9.0833,6.0167,73.51,94,100,1.01,Clouds
216,Pyaozerskiy,RU,65.8333,31.1667,54.28,81,52,3.31,Clouds
217,Temiscaming,CA,46.7212,-79.0971,57.47,94,100,2.3,Clouds
218,Halifax,CA,44.6453,-63.5724,59.68,81,8,1.01,Clear
219,Usinsk,RU,65.9939,57.5281,51.96,97,100,10.67,Clouds
220,Bengkulu,ID,-3.8004,102.2655,83.17,70,10,3.98,Clear
221,Emerald,AU,-23.5333,148.1667,83.34,50,0,6.91,Clear
222,Sylvan Lake,CA,52.3168,-114.0853,71.85,73,1,2.3,Clear
223,Chuy,UY,-33.6971,-53.4616,46.51,93,29,1.5,Clouds
224,Richards Bay,ZA,-28.783,32.0377,56.84,68,30,7.99,Clouds
225,Merced,US,37.1666,-120.7516,90.18,26,0,11.03,Clear
226,Lompoc,US,34.6391,-120.4579,72.79,82,1,6.91,Clear
227,Mantua,IT,45.1667,10.7833,72.72,86,43,3.0,Clouds
228,Kungurtug,RU,50.5994,97.5228,54.21,97,100,3.29,Rain
229,Wolverhampton,GB,52.5855,-2.123,58.8,88,100,3.78,Clouds
230,Flin Flon,CA,54.7682,-101.865,63.7,58,20,3.47,Clouds
231,Luocheng,CN,29.3848,104.0286,90.93,47,0,1.12,Clear
232,Zaranj,AF,30.9667,61.8833,85.96,13,0,28.12,Clear
233,Te Anau,NZ,-45.4167,167.7167,49.53,93,99,0.29,Clouds
234,Port Macquarie,AU,-31.4333,152.9167,84.16,42,0,6.98,Clear
235,Hobart,AU,-42.8794,147.3294,51.12,69,75,17.27,Rain
236,New Smyrna Beach,US,29.0258,-80.927,85.01,75,49,8.3,Clouds
237,Touros,BR,-5.1989,-35.4608,74.3,90,50,13.82,Clouds
238,Palu,ID,-0.8917,119.8707,86.27,75,33,3.58,Clouds
239,Talnakh,RU,69.4865,88.3972,59.47,61,92,14.99,Clouds
240,Surgut,RU,61.25,73.4167,64.58,77,0,4.47,Clear
241,Leshukonskoye,RU,64.8989,45.7622,56.61,89,89,5.06,Clouds
242,Kenitra,MA,34.261,-6.5802,68.76,79,18,2.19,Clouds
243,Tiznit,MA,29.5833,-9.5,75.25,46,1,2.46,Clear
244,Ibotirama,BR,-12.1853,-43.2206,68.79,63,27,4.25,Clouds
245,Shimanovsk,RU,52.0,127.7,66.22,99,100,8.01,Rain
246,Husavik,IS,66.0449,-17.3389,51.71,69,100,3.2,Clouds
247,Yugo-Kamskiy,RU,57.7053,55.5894,69.82,89,36,6.62,Clouds
248,Vila Velha,BR,-20.3297,-40.2925,62.55,94,90,2.3,Clouds
249,Tessalit,ML,20.1986,1.0114,90.12,33,99,15.82,Clouds
250,Lavrentiya,RU,65.5833,-171.0,41.41,91,100,4.43,Rain
251,Vannes,FR,47.8333,-2.5,56.32,95,30,5.46,Clouds
252,Isangel,VU,-19.55,169.2667,73.51,64,75,13.8,Clouds
253,Dong Hoi,VN,17.4833,106.6,87.3,67,100,10.54,Clouds
254,Merauke,ID,-8.4667,140.3333,81.7,76,86,10.07,Clouds
255,Urucara,BR,-2.5364,-57.76,76.77,73,100,2.24,Clouds
256,Pisco,PE,-13.7,-76.2167,62.65,82,75,8.05,Clouds
257,Ahipara,NZ,-35.1667,173.1667,57.96,70,78,7.99,Clouds
258,Zaysan,KZ,47.4667,84.8667,79.25,14,1,10.07,Clear
259,Pacific Grove,US,36.6177,-121.9166,65.8,86,1,3.0,Clear
260,Araouane,ML,18.9048,-3.5265,89.67,40,32,20.11,Clouds
261,Gwembe,ZM,-16.4975,27.6069,48.61,89,0,3.15,Clear
262,Road Town,VG,18.4167,-64.6167,83.19,77,7,18.63,Clear
263,Sitka,US,57.0531,-135.33,60.69,82,90,5.75,Clouds
264,Otane,NZ,-39.8833,176.6333,56.39,71,99,2.55,Clouds
265,Sulangan,PH,11.1373,123.7228,84.54,74,93,7.99,Clouds
266,Ilhabela,BR,-23.7781,-45.3581,59.85,86,100,3.13,Clouds
267,San Ramon,US,37.7799,-121.978,74.37,71,1,7.0,Clear
268,Harper,LR,4.375,-7.7169,76.15,83,100,11.25,Clouds
269,Westport,US,41.1415,-73.3579,70.99,84,1,1.01,Clear
270,Provideniya,RU,64.3833,-173.3,45.81,78,95,6.64,Clouds
271,Invermere,CA,50.5167,-116.0354,78.35,28,16,1.61,Clouds
272,Bandarbeyla,SO,9.4942,50.8122,78.51,64,80,23.22,Clouds
273,Ormond Beach,US,29.2858,-81.0559,84.34,66,20,1.01,Clouds
274,Sao Sebastiao,BR,-23.76,-45.4097,58.68,88,100,3.27,Clouds
275,Campbell River,CA,50.0163,-125.2446,80.98,54,75,2.3,Clouds
276,Alice Springs,AU,-23.7,133.8833,74.21,21,0,11.99,Clear
277,Mapimi,MX,25.8167,-103.85,86.77,48,53,1.74,Clouds
278,Truro,GB,50.2653,-5.0544,60.08,100,75,8.05,Clouds
279,Port Lincoln,AU,-34.7333,135.8667,58.15,61,23,15.32,Clouds
280,Port Augusta,AU,-32.5,137.7667,59.7,47,3,5.28,Clear
281,Eyl,SO,7.9803,49.8164,79.21,58,99,20.71,Clouds
