City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
685,Lodwar,KE,77.99,Clouds,3.1191,35.5973,Solmar Gracious Hotel
688,Gummidipundi,IN,86.0,Clouds,13.4,80.15,Le Raj Courtyard
691,Masaki,JP,85.91,Clouds,33.7876,132.7112,ホテルファンタジアリゾート
693,Nabire,ID,86.23,Clouds,-3.3667,135.4833,Hotel Nusantara Nabire
694,Itoman,JP,89.98,Clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
696,Ternate,ID,84.51,Clouds,0.8,127.4,Grand Dafam Bela Ternate
697,Pathein,MM,78.8,Clouds,16.7833,94.7333,New Pammawaddy Hotel
700,Ambon,ID,91.54,Clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
705,Gilgit,PK,82.33,Clouds,35.9221,74.3087,Tourist Hamlet Gilgit
709,Erzin,TR,77.0,Clear,36.9559,36.2,Artemis Otel
